date,is_open,tdid,did
20181227,1,14600,106936
20181228,1,14601,106937
20181229,0,14601,106938
20181230,0,14601,106939
20181231,0,14601,106940
20190101,0,14601,106941
20190102,1,14602,106942
20190103,1,14603,106943
20190104,1,14604,106944
20190105,0,14604,106945
20190106,0,14604,106946
20190107,1,14605,106947
20190108,1,14606,106948
20190109,1,14607,106949
20190110,1,14608,106950
20190111,1,14609,106951
20190112,0,14609,106952
20190113,0,14609,106953
20190114,1,14610,106954
20190115,1,14611,106955
20190116,1,14612,106956
20190117,1,14613,106957
20190118,1,14614,106958
20190119,0,14614,106959
20190120,0,14614,106960
20190121,1,14615,106961
20190122,1,14616,106962
20190123,1,14617,106963
20190124,1,14618,106964
20190125,1,14619,106965
20190126,0,14619,106966
20190127,0,14619,106967
20190128,1,14620,106968
20190129,1,14621,106969
20190130,1,14622,106970
20190131,1,14623,106971
20190201,1,14624,106972
20190202,0,14624,106973
20190203,0,14624,106974
20190204,0,14624,106975
20190205,0,14624,106976
20190206,0,14624,106977
20190207,0,14624,106978
20190208,0,14624,106979
20190209,0,14624,106980
20190210,0,14624,106981
20190211,1,14625,106982
20190212,1,14626,106983
20190213,1,14627,106984
20190214,1,14628,106985
20190215,1,14629,106986
20190216,0,14629,106987
20190217,0,14629,106988
20190218,1,14630,106989
20190219,1,14631,106990
20190220,1,14632,106991
20190221,1,14633,106992
20190222,1,14634,106993
20190223,0,14634,106994
20190224,0,14634,106995
20190225,1,14635,106996
20190226,1,14636,106997
20190227,1,14637,106998
20190228,1,14638,106999
20190301,1,14639,107000
20190302,0,14639,107001
20190303,0,14639,107002
20190304,1,14640,107003
20190305,1,14641,107004
20190306,1,14642,107005
20190307,1,14643,107006
20190308,1,14644,107007
20190309,0,14644,107008
20190310,0,14644,107009
20190311,1,14645,107010
20190312,1,14646,107011
20190313,1,14647,107012
20190314,1,14648,107013
20190315,1,14649,107014
20190316,0,14649,107015
20190317,0,14649,107016
20190318,1,14650,107017
20190319,1,14651,107018
20190320,1,14652,107019
20190321,1,14653,107020
20190322,1,14654,107021
20190323,0,14654,107022
20190324,0,14654,107023
20190325,1,14655,107024
20190326,1,14656,107025
20190327,1,14657,107026
20190328,1,14658,107027
20190329,1,14659,107028
20190330,0,14659,107029
20190331,0,14659,107030
20190401,1,14660,107031
20190402,1,14661,107032
20190403,1,14662,107033
20190404,1,14663,107034
20190405,0,14663,107035
20190406,0,14663,107036
20190407,0,14663,107037
20190408,1,14664,107038
20190409,1,14665,107039
20190410,1,14666,107040
20190411,1,14667,107041
20190412,1,14668,107042
20190413,0,14668,107043
20190414,0,14668,107044
20190415,1,14669,107045
20190416,1,14670,107046
20190417,1,14671,107047
20190418,1,14672,107048
20190419,1,14673,107049
20190420,0,14673,107050
20190421,0,14673,107051
20190422,1,14674,107052
20190423,1,14675,107053
20190424,1,14676,107054
20190425,1,14677,107055
20190426,1,14678,107056
20190427,0,14678,107057
20190428,0,14678,107058
20190429,1,14679,107059
20190430,1,14680,107060
20190501,0,14680,107061
20190502,0,14680,107062
20190503,0,14680,107063
20190504,0,14680,107064
20190505,0,14680,107065
20190506,1,14681,107066
20190507,1,14682,107067
20190508,1,14683,107068
20190509,1,14684,107069
20190510,1,14685,107070
20190511,0,14685,107071
20190512,0,14685,107072
20190513,1,14686,107073
20190514,1,14687,107074
20190515,1,14688,107075
20190516,1,14689,107076
20190517,1,14690,107077
20190518,0,14690,107078
20190519,0,14690,107079
20190520,1,14691,107080
20190521,1,14692,107081
20190522,1,14693,107082
20190523,1,14694,107083
20190524,1,14695,107084
20190525,0,14695,107085
20190526,0,14695,107086
20190527,1,14696,107087
20190528,1,14697,107088
20190529,1,14698,107089
20190530,1,14699,107090
20190531,1,14700,107091
20190601,0,14700,107092
20190602,0,14700,107093
20190603,1,14701,107094
20190604,1,14702,107095
20190605,1,14703,107096
20190606,1,14704,107097
20190607,0,14704,107098
20190608,0,14704,107099
20190609,0,14704,107100
20190610,1,14705,107101
20190611,1,14706,107102
20190612,1,14707,107103
20190613,1,14708,107104
20190614,1,14709,107105
20190615,0,14709,107106
20190616,0,14709,107107
20190617,1,14710,107108
20190618,1,14711,107109
20190619,1,14712,107110
20190620,1,14713,107111
20190621,1,14714,107112
20190622,0,14714,107113
20190623,0,14714,107114
20190624,1,14715,107115
20190625,1,14716,107116
20190626,1,14717,107117
20190627,1,14718,107118
20190628,1,14719,107119
20190629,0,14719,107120
20190630,0,14719,107121
20190701,1,14720,107122
20190702,1,14721,107123
20190703,1,14722,107124
20190704,1,14723,107125
20190705,1,14724,107126
20190706,0,14724,107127
20190707,0,14724,107128
20190708,1,14725,107129
20190709,1,14726,107130
20190710,1,14727,107131
20190711,1,14728,107132
20190712,1,14729,107133
20190713,0,14729,107134
20190714,0,14729,107135
20190715,1,14730,107136
20190716,1,14731,107137
20190717,1,14732,107138
20190718,1,14733,107139
20190719,1,14734,107140
20190720,0,14734,107141
20190721,0,14734,107142
20190722,1,14735,107143
20190723,1,14736,107144
20190724,1,14737,107145
20190725,1,14738,107146
20190726,1,14739,107147
20190727,0,14739,107148
20190728,0,14739,107149
20190729,1,14740,107150
20190730,1,14741,107151
20190731,1,14742,107152
20190801,1,14743,107153
20190802,1,14744,107154
20190803,0,14744,107155
20190804,0,14744,107156
