ts_code,symbol,name,list_date,list_status
000798.SZ,000798,中水渔业,19980212,L
000799.SZ,000799,酒鬼酒,19970718,L
000800.SZ,000800,一汽解放,19970618,L
000801.SZ,000801,四川九洲,19980506,L
000802.SZ,000802,ST北文,19980108,L
000803.SZ,000803,北清环能,19980303,L
000806.SZ,000806,ST银河,19980416,L
000807.SZ,000807,云铝股份,19980408,L
000809.SZ,000809,铁岭新城,19980616,L
000810.SZ,000810,创维数字,19980602,L
000811.SZ,000811,冰轮环境,19980528,L
000812.SZ,000812,陕西金叶,19980623,L
000813.SZ,000813,德展健康,19980519,L
000815.SZ,000815,美利云,19980609,L
000816.SZ,000816,智慧农业,19970818,L
000818.SZ,000818,航锦科技,19971017,L
000819.SZ,000819,岳阳兴长,19970625,L
000820.SZ,000820,*ST节能,19980630,L
000821.SZ,000821,京山轻机,19980626,L
000822.SZ,000822,山东海化,19980703,L
000823.SZ,000823,超声电子,19971008,L
000825.SZ,000825,太钢不锈,19981021,L
000826.SZ,000826,启迪环境,19980225,L
000828.SZ,000828,东莞控股,19970617,L
000829.SZ,000829,天音控股,19971202,L
000830.SZ,000830,鲁西化工,19980807,L
000831.SZ,000831,五矿稀土,19980911,L
000833.SZ,000833,粤桂股份,19981111,L
000835.SZ,000835,*ST长动,19990625,L
000836.SZ,000836,富通信息,19970929,L
000837.SZ,000837,秦川机床,19980928,L
000838.SZ,000838,财信发展,19970626,L
000839.SZ,000839,中信国安,19971031,L
000848.SZ,000848,承德露露,19971113,L
000850.SZ,000850,华茂股份,19981007,L
000851.SZ,000851,高鸿股份,19980609,L
000852.SZ,000852,石化机械,19981126,L
000856.SZ,000856,冀东装备,19980813,L
000858.SZ,000858,五粮液,19980427,L
000859.SZ,000859,国风塑业,19981119,L
000860.SZ,000860,顺鑫农业,19981104,L
000861.SZ,000861,海印股份,19981028,L
000862.SZ,000862,银星能源,19980915,L
000863.SZ,000863,三湘印象,19970925,L
000868.SZ,000868,安凯客车,19970725,L
000869.SZ,000869,张裕A,20001026,L
000875.SZ,000875,吉电股份,20020926,L
000876.SZ,000876,新希望,19980311,L
000877.SZ,000877,天山股份,19990107,L
000878.SZ,000878,云南铜业,19980602,L
000880.SZ,000880,潍柴重机,19980402,L
000881.SZ,000881,中广核技,19980902,L
000882.SZ,000882,华联股份,19980616,L
000883.SZ,000883,湖北能源,19980519,L
000885.SZ,000885,城发环境,19990319,L
000886.SZ,000886,海南高速,19980123,L
000887.SZ,000887,中鼎股份,19981203,L
